ID;Price;Area;Rooms;Flrs;Baths;Land;YearB;Age;Auto;Public;Inc;PM2_5;Edu;Condtn;Subbrbs
133;3000;590;9;2;5;2555;1994;26;70;70;4973,12;18,1;64,69893147;3;Konstancin-Jeziorna
134;3500;460;7;1;3;2000;1928;92;70;81;4973,12;18,1;64,69893147;;Konstancin-Jeziorna
135;4500;432;9;1;3;2130;1986;34;65;61;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
136;4500;650;6;1;4;3300;2012;8;70;63;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
137;4800;500;7;1;5;2850;2010;10;70;63;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
138;5000;470;7;1;4;1154;2008;12;70;83;4973,12;18,1;64,69893147;5;Konstancin-Jeziorna
139;1750;301,67;5;1;3;603;2020;0;70;71;4973,12;18,1;64,69893147;3;Konstancin-Jeziorna
140;3090;400;8;2;4;2800;1997;23;75;73;4973,12;18,1;64,69893147;3;Konstancin-Jeziorna
141;4150;500;8;3;4;3000;2000;20;70;81;4973,12;18,1;64,69893147;3;Konstancin-Jeziorna
142;1190;188;4;1;2;1100;2001;19;70;83;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
143;3200;340;5;2;3;4065;1984;36;75;84;4973,12;18,1;64,69893147;3;Konstancin-Jeziorna
144;1590;235,8;7;2;3;690;1998;22;70;68;4973,12;18,1;64,69893147;3;Konstancin-Jeziorna
145;2490;290;8;2;3;1200;2010;10;70;79;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
146;3900;712;9;1;4;4500;2000;20;75;94;4973,12;18,1;64,69893147;5;Konstancin-Jeziorna
148;9990;784;11;2;7;3339;2014;6;70;69;4973,12;18,1;64,69893147;5;Konstancin-Jeziorna
149;2000;250;6;1;2;847;2010;10;70;68;4973,12;18,1;64,69893147;5;Konstancin-Jeziorna
150;6000;421,8;8;1;5;3646;2006;14;70;71;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
151;6950;730;11;1;8;3000;2010;10;60;58;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
152;2450;240;5;1;4;966;1988;32;70;71;4973,12;18,1;64,69893147;4;Konstancin-Jeziorna
153;749;166;4;1;2;300;2020;0;50;67;3736,09;19;60,98378847;5;Raszyn
154;8850;491;5;1;3;7394;2020;0;45;54;3736,09;19;60,98378847;3;Raszyn
155;1640;250;6;1;3;500;1996;24;45;54;3736,09;19;60,98378847;4;Raszyn
156;890;173;6;2;2;1600;1975;45;45;65;3736,09;19;60,98378847;1;Raszyn
157;1150;200;5;2;3;1204;2010;10;45;55;3736,09;19;60,98378847;3;Raszyn
158;3900;750;9;2;4;890;2000;20;50;48;3736,09;19;60,98378847;4;Raszyn
159;1790;165;7;2;3;975;1981;39;45;51;3736,09;19;60,98378847;3;Raszyn
160;730;107;4;2;2;954;1980;40;45;58;3736,09;19;60,98378847;1;Raszyn
161;999,9;71,9;4;1;2;651;2014;6;50;55;3736,09;19;60,98378847;4;Raszyn
162;1310;343;6;2;1;789;2003;17;45;54;3736,09;19;60,98378847;2;Raszyn
163;1500;350;12;1;3;550;1980;40;45;50;3736,09;19;60,98378847;2;Raszyn
164;1550;188;6;1;2;1200;2004;16;59;50;3736,09;19;60,98378847;3;Raszyn
165;690;160;5;1;2;902;1996;24;50;54;3736,09;19;60,98378847;1;Raszyn
166;860;290;6;1;2;355;2000;20;50;48;3736,09;19;60,98378847;1;Raszyn
